Date,Open,High,Low,Close,Volume
2023-10-13T20:00:00Z,26778.57,27074.07,26747.24,26981.36,1934.66567
2023-10-13T21:00:00Z,26981.37,27130.0,26839.84,27019.2,2857.65066
2023-10-13T22:00:00Z,27019.2,27078.73,26755.01,26829.9,1732.87204
2023-10-13T23:00:00Z,26829.9,26862.0,26764.65,26862.0,684.47082
2023-10-14T00:00:00Z,26862.0,26899.67,26852.49,26892.46,538.84186
2023-10-14T01:00:00Z,26892.45,26929.47,26845.0,26915.05,549.78803
2023-10-14T02:00:00Z,26915.05,26933.88,26887.41,26905.0,393.71939
2023-10-14T03:00:00Z,26905.0,26989.58,26905.0,26930.78,682.83022
2023-10-14T04:00:00Z,26930.77,26934.72,26901.4,26908.43,300.10011
2023-10-14T05:00:00Z,26908.43,26939.35,26882.2,26885.07,447.29392
2023-10-14T06:00:00Z,26885.06,26897.18,26850.0,26863.41,1428.00732
2023-10-14T07:00:00Z,26863.4,26873.39,26841.76,26868.8,527.07289
2023-10-14T08:00:00Z,26868.8,26884.9,26847.87,26866.04,351.51991
2023-10-14T09:00:00Z,26866.04,26884.47,26866.04,26879.98,235.26198
2023-10-14T10:00:00Z,26879.98,26900.0,26865.19,26878.78,286.36367
2023-10-14T11:00:00Z,26878.78,26878.79,26849.82,26872.35,342.30466
2023-10-14T12:00:00Z,26872.35,26896.1,26850.44,26893.08,331.85517
2023-10-14T13:00:00Z,26893.08,26913.87,26881.49,26907.61,393.98896
2023-10-14T14:00:00Z,26907.61,26907.62,26869.76,26885.24,308.81057
2023-10-14T15:00:00Z,26885.24,26943.39,26880.12,26942.56,488.52188
2023-10-14T16:00:00Z,26942.56,26953.18,26903.91,26926.58,507.43225
2023-10-14T17:00:00Z,26926.57,26928.19,26884.57,26889.51,374.22674
2023-10-14T18:00:00Z,26889.51,26889.51,26870.0,26870.0,344.88529
2023-10-14T19:00:00Z,26870.0,26890.33,26850.0,26864.29,413.71856
2023-10-14T20:00:00Z,26864.29,26864.29,26815.0,26845.32,355.19308
2023-10-14T21:00:00Z,26845.31,26883.57,26789.0,26820.01,465.05098
2023-10-14T22:00:00Z,26820.0,26854.62,26819.72,26849.45,205.88649
2023-10-14T23:00:00Z,26849.44,26866.97,26849.44,26852.48,144.58183
2023-10-15T00:00:00Z,26852.48,26853.45,26815.76,26848.76,255.54884
2023-10-15T01:00:00Z,26848.76,26916.77,26845.4,26890.01,511.88407
2023-10-15T02:00:00Z,26890.0,26904.32,26871.65,26883.6,235.77984
2023-10-15T03:00:00Z,26883.6,26907.16,26877.17,26880.46,319.34865
